gene_id,gene_name,D13,D27,D33,S31,S44,S50,S52,S9
ENSMUSG00000035245,Eogt,65,105,6,56,110,88.00099999999999,47,46
ENSMUSG00000035246,Pcyt1b,486,748,196,793,977,338,764,288
ENSMUSG00000035247,Hectd1,3744,1980.883,3568.506,2408,3491,3471.135,3700.0580000000004,3310
ENSMUSG00000035248,Tut7,4710.999000000001,1446.0010000000002,4416.000000000001,2981.5339999999997,2333.9990000000003,2373.9990000000003,4481.992,4189.999
ENSMUSG00000035258,Abi3bp,12,0,0,0,0,0,0,0
ENSMUSG00000035262,Amh,3,0,0,34,76,27,0,10
ENSMUSG00000035266,Helq,261,185,289,97,221,134,301,155
ENSMUSG00000035268,Pkig,544.001,324.999,646.001,666,337,520,291,675
ENSMUSG00000035270,Impg2,0,0,0,0,0,0,30,4
ENSMUSG00000035273,Hpse,1604,1396,927,1280,1331,1289,1889,1119
ENSMUSG00000035274,Tpbg,10,0,0,0,0,0,0,0
ENSMUSG00000035275,Raver2,3,0,11,0,0,0,0,6
ENSMUSG00000035277,Arx,0,0,0,0,0,0,0,0
ENSMUSG00000035278,Plekhj1,903,1105,1112.591,674,1088,1226,853,870
ENSMUSG00000035279,Ssc5d,0,0,0,0,0,0,0,0
ENSMUSG00000035283,Adrb1,2,0,8,0,0,0,0,13
ENSMUSG00000035284,Vps13c,1527,308,1143,1090,857,1329,1523,1280
ENSMUSG00000035285,Nat14,8,29,29,0,15,49,75,7
ENSMUSG00000035293,G2e3,842,373,1018,595,507.859,415,983,802.001
ENSMUSG00000035295,Wdr38,0,0,0,33,0,0,13,0
ENSMUSG00000035296,Sgcg,0,0,0,0,0,0,0,0
ENSMUSG00000035297,Cops4,1184.9990000000003,1523,1161.0000000000002,1485,1400,1328,723,1251
ENSMUSG00000035298,Klhl35,10,0,18,0,0,0,0,11
ENSMUSG00000035299,Mid1,174.46699999999998,122,98.23,151,91,64,0,49
ENSMUSG00000035305,Ror1,0,0,1,0,0,0,0,14
ENSMUSG00000035311,Gnptab,1015,1125,917,724.999,1041,748,816,837
ENSMUSG00000035314,Gdpd5,24,0,0,64,0,0,7,6
ENSMUSG00000035325,Sec31a,1917.9989999999998,1307.0010000000002,2054,1245,1755,1401,2142,2556.9999999999995
ENSMUSG00000035329,Fbxo33,1047,279.99999999999994,1015,752,474,527,922.001,1257
ENSMUSG00000035337,Uchl4,0,0,0,31.386,0,0,0,0
ENSMUSG00000035342,Lzts2,356,453,247,794,404,481.99899999999997,760,326
ENSMUSG00000035351,Nup37,313,285,472,368,415,635,248,314
ENSMUSG00000035352,Ccl12,0,0,0,0,0,0,0,0
ENSMUSG00000035354,Uvrag,1383.407,663,1461,915.9999999999999,787.0000000000001,1183.0000000000002,1295,1505
ENSMUSG00000035355,Kcnh4,8,0,0,0,0,0,0,0
ENSMUSG00000035356,Nfkbiz,4263,60,1616,195,430,552,2367,6844
ENSMUSG00000035357,Pdzrn3,8,0,18,130,21,0,0,0
ENSMUSG00000035365,Parpbp,375,264,369,257,224,576,199,377
ENSMUSG00000035367,Rmi1,476.999,286,546,509,280,422.015,626,475
ENSMUSG00000035370,Gm49322,49.58,30.92,33.535,0,0,0,0,55.398
ENSMUSG00000035371,Ssx9,0,0,0,0,0,0,0,0
ENSMUSG00000035372,1810055G02Rik,548,43,591,302,254,245,387,602
ENSMUSG00000035373,Ccl7,0,0,0,280,0,0,0,0
ENSMUSG00000035376,Hacd2,860.0010000000001,600,1219.999,786,969,1025,710,978.001
ENSMUSG00000035378,Shq1,216.001,52,147,80,31,102,66,249
ENSMUSG00000035382,Pcsk7,1244,452,1157.999,700,863,819,1024,1104
ENSMUSG00000035383,Pmch,0,0,0,0,0,0,0,0
ENSMUSG00000035385,Ccl2,65,0,13,225,23,74,87,73
ENSMUSG00000035387,4930415L06Rik,0,0,0,0,0,0,0,0
ENSMUSG00000035390,Brsk1,3,0,8,0,1,0,0,0
ENSMUSG00000035392,Dennd1a,476,95,446,442,190,310,536,589
ENSMUSG00000035394,Cfap53,6,0,0,0,0,0,0,0
ENSMUSG00000035395,Dcaf8l,0,0,0,0,0,0,0,0
ENSMUSG00000035397,Klf16,536,442,449,258,576,471,528,573
ENSMUSG00000035399,Oser1,2025,432,1828,1157,553,714,1506,2267
ENSMUSG00000035401,Emsy,696.999,668.001,718.253,607,564,615.999,627.999,769.805
ENSMUSG00000035403,Crb2,0,0,0,0,0,0,0,0
ENSMUSG00000035407,Kank4,0,0,0,0,0,0,0,0
ENSMUSG00000035413,Tmem98,58,20,17,0,138,88,27,64
ENSMUSG00000035420,Fam170a,0,0,0,0,0,23,0,0
ENSMUSG00000035427,Mageb4,0,0,0,0,0,0,0,0
ENSMUSG00000035429,Ptprh,0,0,0,0,17,0,0,2
ENSMUSG00000035431,Sstr1,11,0,0,0,1,0,0,0
ENSMUSG00000035435,Abca17,0,0,6,0,0,0,0,0
ENSMUSG00000035437,Rabgap1,761.999,903,513,414,829,339,751,567.001
ENSMUSG00000035439,Haus8,796.0000000000001,505,1091,370,751.999,592,711.001,984.001
ENSMUSG00000035441,Myo1d,306,231,228,391,120,132,205,257
ENSMUSG00000035443,Thyn1,202,156,315.00100000000003,508,364,538,260,333
ENSMUSG00000035448,Ccr3,87,0,11,47,24,0,0,167
ENSMUSG00000035451,Foxa1,0,0,0,0,0,0,0,0
ENSMUSG00000035454,Samt3,0,0,0,0,0,0,0,0
ENSMUSG00000035455,Fignl1,541,160,798,369,377,489,711,866
ENSMUSG00000035456,Prdm8,5,0,0,52.141,15,0,0,0
ENSMUSG00000035458,Tnni3,30,4,6,0,35,27,105,28
ENSMUSG00000035459,Stab2,117,0,37,172,0,0,56,142
ENSMUSG00000035469,Rcbtb1,119,63,156,132,142,187,259,211
ENSMUSG00000035472,Slc25a21,0,0,29,74,0,0,0,3
ENSMUSG00000035473,Galm,189,47,317,163,40,174,146,220
ENSMUSG00000035476,Tab3,617,278,588,489,297,325,589,391.001
ENSMUSG00000035478,Mbd3,1730,2025.001,1894.9999999999998,1330,2333,1670,1796,1534.001
ENSMUSG00000035486,Plk5,0,0,0,0,0,0,0,0
ENSMUSG00000035491,Fthl17a,0,0,0,0,0,0,0,0
ENSMUSG00000035493,Tgfbi,5884,690,6873,3107,1937,4273,4802,9463
ENSMUSG00000035495,Tstd2,790.594,433,853.539,335.968,555,707,859,612.9999999999999
ENSMUSG00000035498,Cdcp1,72,23,3,65,104,27,47,50
ENSMUSG00000035504,Reep6,99,7,45,70,169,121,30,56
ENSMUSG00000035505,Cox18,128.001,150,106,94,265,312,203,141
ENSMUSG00000035506,Slc12a8,0,1,0,0,0,0,0,2
ENSMUSG00000035509,Fbxl21,0,0,15,0,0,0,0,0
ENSMUSG00000035513,Ntng2,680.8580000000001,87,656.7379999999999,314,278,460.72499999999997,529,766.2800000000001
ENSMUSG00000035517,Tdrd7,944.9999999999999,442,939,401,412,676,766,835
ENSMUSG00000035521,Gnptg,440,666,353,341,754,501,512,386
ENSMUSG00000035522,Tsga8,0,0,0,0,0,0,0,0
ENSMUSG00000035523,Vmn1r172,0,0,0,0,0,0,0,0
ENSMUSG00000035528,Npffr2,0,0,0,0,0,0,0,0
ENSMUSG00000035529,Prdm4,556,347,629,588,325,365,520,602
ENSMUSG00000035530,Eif1,10988.645,7623.361,12179.179999999998,8461.579,8829.562,10052.253,9622.321,13380.838000000002
ENSMUSG00000035539,Ccdc180,105,0,66,0,78,26,0,143
ENSMUSG00000035540,Gc,0,0,0,0,21,0,0,0
ENSMUSG00000035545,Leng8,4716.999999999999,1756,4218.992,3650,2515,2933.9999999999995,4430.000000000001,2486.9989999999993
ENSMUSG00000035547,Capn5,780,1250,311,1262,943,487,692,338
ENSMUSG00000035551,Igfbpl1,0,0,0,0,0,29,0,0
ENSMUSG00000035557,Krt17,0,0,0,0,0,0,0,0
ENSMUSG00000035559,Mpv17l2,322,280,269,143,359,311,106,204
ENSMUSG00000035560,Wdr20rt,0,0,0,0,0,0,18,0
ENSMUSG00000035561,Aldh1b1,98,16,84,22,0,31,34,65
ENSMUSG00000035566,Pcdh17,0,27,0,0,0,0,0,0
ENSMUSG00000035569,Ankrd11,3760.9959999999996,1583,3547,1885,2372,2514.999,2990.0000000000005,3474
ENSMUSG00000035572,Dcaf10,638,299,577,460,375,356,491.001,418
ENSMUSG00000035575,Utp6,1025,1396.9999999999998,912.999,778,1142,821,730,870.0000000000001
ENSMUSG00000035576,L3mbtl1,16,0,30,0,0,0,0,0
ENSMUSG00000035578,Iqcg,1,0,10,0,0,0,0,13.017
ENSMUSG00000035580,Kcnh8,0,0,0,0,0,0,0,0
ENSMUSG00000035582,Gdpd4,0,0,0,0,15,38,0,5
ENSMUSG00000035585,Tsen34,505,229,518.5060000000001,316,648.999,424,368,408.753
ENSMUSG00000035592,Krt33a,0,0,0,0,0,0,0,0
ENSMUSG00000035594,Chrna5,0,0,0,0,0,0,0,0
ENSMUSG00000035595,Fam174c,112,109,146,113,226,125,137,131
ENSMUSG00000035596,Mboat7,2181.001,2100.9990000000003,2981,2211,1801,1581.001,2283.0009999999997,2548.001
ENSMUSG00000035597,Prpf39,740.001,584.0010000000001,836,603,986,727,849.999,760
ENSMUSG00000035601,Trmt10b,73,105,116,91,174,22,175,97
ENSMUSG00000035606,Ky,0,0,0,0,0,0,0,0
ENSMUSG00000035614,Togaram1,544,545,300,520,354,460,333,540
ENSMUSG00000035615,Frmpd1,0,0,0,0,0,0,0,0
ENSMUSG00000035620,Ric8b,574.403,328,368.00100000000003,511,466,393,653,388
ENSMUSG00000035621,Midn,2589.0009999999997,866,3356,1579,1599,1762.9999999999998,1973,2655.0010000000007
ENSMUSG00000035623,Rsf1,918.999,782,854.999,613,590,573,711,948
ENSMUSG00000035626,Olfr1509,0,0,0,0,0,0,0,0
ENSMUSG00000035629,Rubcn,682.001,599,543,825,641.0000000000001,415,757,842.999
ENSMUSG00000035632,Cnot3,1566.999,1574,1887.999,1256,1947.7730000000001,1763,1935.484,2043
ENSMUSG00000035637,Grhpr,273,139,196,241,252,189,216,300
ENSMUSG00000035638,Muc20,30,35,12,27,0,0,15,19
ENSMUSG00000035640,Cbarp,16,40,51,100,14,63,114.03,39
ENSMUSG00000035642,Aamdc,170,64,64,59,62,256,160,87.99900000000001
ENSMUSG00000035649,Zcchc7,721,386,655,683,275,494,555,585
ENSMUSG00000035651,4930480E11Rik,0,0,0,0,0,0,0,0
ENSMUSG00000035653,Lrfn5,3,0,0,0,1,0,0,0
ENSMUSG00000035666,Gtf3c4,568,222,477,136,623,431,496,415
ENSMUSG00000035671,Zswim4,1018,29,691,251,281,154,800,1069
ENSMUSG00000035673,Sbno2,2922.999,1639.9999999999998,5934.998999999999,1655,1654.999,2695.9999999999995,2989.0000000000005,3190
ENSMUSG00000035674,Ndufa3,3315.999,5129,3092,3512.0000000000005,4298.999999999999,3399.999,4007.9999999999995,2611
ENSMUSG00000035678,Tnfsf9,126,128,131,34,159,141,183,136
ENSMUSG00000035681,Kcnc2,0,0,0,0,0,0,0,0
ENSMUSG00000035683,Melk,546,196,671,322,524,628,410,633
ENSMUSG00000035686,Thrsp,2,0,0,0,0,0,0,10
ENSMUSG00000035692,Isg15,353,25,843,286,114,162,573,319
ENSMUSG00000035694,Caps2,0,0,0,53.621,0,0,0,0
ENSMUSG00000035696,Rnf38,2292.9990000000003,2251,2270.9999999999995,1916,1821.0010000000002,1951,2321,1558.0009999999997
ENSMUSG00000035697,Arhgap45,18119.000000000004,11349.999999999998,15427,11496.998999999998,14681.999999999998,12196,18474.001,14334
ENSMUSG00000035699,Slc51a,0,0,0,0,0,0,0,0
ENSMUSG00000035704,Alg8,458,686,486,422,511,416,219,481
ENSMUSG00000035711,Dok3,3861,683,4163.062,1851,1190,2390,2825.0009999999997,3267
ENSMUSG00000035713,Usp35,45,0,52,0,72,44,52,43
ENSMUSG00000035722,Abca7,6205,3600,5324,4105,5881,5237,6748,4272
ENSMUSG00000035725,Prkx,581,340,728,407,283,517,515,635
ENSMUSG00000035726,Supt16,2065.973,1531,2345.965,1244,1994,1690,1808,1968
ENSMUSG00000035735,Dagla,9,0,0,0,0,0,0,0
ENSMUSG00000035745,Grin3b,0,0,0,0,43,0,0,0
ENSMUSG00000035754,Wdr18,577,288,572,749,1158,638.9999999999999,406,638
ENSMUSG00000035757,Selenoo,708,538,791,728,445,524,554.713,672
ENSMUSG00000035759,Bbs10,23,0,49,0,36,30,55,2
ENSMUSG00000035762,Tmem161b,299.00100000000003,183,279,284,205.002,105,339,242.00099999999998
ENSMUSG00000035764,Fbxo45,569,157,458,88,357,359,532,497
ENSMUSG00000035765,Dym,911,737,1007,777,1086,649,1155,1061.9989999999998
ENSMUSG00000035769,Xylb,21,0,28,0,22,54,19,32.001
ENSMUSG00000035770,Dync1li2,1374,1152,1338.0000000000002,973,1626,835,1668,848
ENSMUSG00000035772,Mrps2,360,265,335,420,399,255,368,413
ENSMUSG00000035773,Kiss1r,60,0,99,62,8,52,5,74
ENSMUSG00000035775,Krt20,0,0,0,0,0,0,0,0
ENSMUSG00000035776,Cd99l2,247,234,113,74,389,380.00100000000003,124,169
ENSMUSG00000035778,Ggta1,1005.001,297,1420.9999999999998,480,301,764.001,795,1063
ENSMUSG00000035780,Ugt2a3,0,0,0,0,0,0,0,0
ENSMUSG00000035781,R3hdm4,7725,5959,8004.000000000001,4782,7912,7808,6213,7482.000000000001
ENSMUSG00000035783,Acta2,153,0,126,108,108,38,146,213
ENSMUSG00000035785,Cmtm2b,0,0,0,0,0,0,0,0
ENSMUSG00000035790,Cep19,618,189,991,245,480,493,437,516.104
ENSMUSG00000035798,Zdhhc17,488,582,407,598,560,472,466,349
ENSMUSG00000035799,Twist1,0,0,0,33,0,0,0,1
ENSMUSG00000035804,Ins1,0,0,0,0,0,0,0,0
ENSMUSG00000035805,Mlc1,0,0,0,0,0,0,0,0
ENSMUSG00000035811,Ugt2b35,0,0,0,0,0,0,0,0
ENSMUSG00000035818,Plekhs1,11,0,8,0,1,18,0,8
ENSMUSG00000035824,Tk2,496.999,209,770.0010000000001,502,147,386,474,605.9999999999999
ENSMUSG00000035828,Pim3,833,377,718,478,382,470,886,1275
ENSMUSG00000035829,Ppp1r26,6,0,36,22,67,0,0,38
ENSMUSG00000035831,Krt25,0,0,0,0,0,0,0,0
ENSMUSG00000035834,Polr3g,256,216,210,140,248,217,139,122
ENSMUSG00000035835,Plppr3,464.00000000000006,127,1345.0010000000002,53,501,848,379,424.001
ENSMUSG00000035836,Ugt2b1,0,0,0,0,0,0,0,0
ENSMUSG00000035840,Lysmd3,763,132,662,312,112,381,554,782
ENSMUSG00000035842,Ddx11,375.00000000000006,427,563,308,697,522.001,544,479.001
ENSMUSG00000035845,Alg12,203,235,302,97,299,436,326,240.00000000000003
ENSMUSG00000035847,Ids,421,498,261,599,282,311,419,372
ENSMUSG00000035849,Krt222,23,0,13,60,0,0,0,9
ENSMUSG00000035851,Ythdc1,2643,1489,2493.001,2270.9999999999995,1951,1626,2383,2541.0009999999997
ENSMUSG00000035852,Misp,0,0,0,0,0,0,0,11
ENSMUSG00000035860,Cdhr3,0,0,0,0,0,0,0,0
ENSMUSG00000035861,Tmprss11b,0,0,0,0,0,0,0,0
ENSMUSG00000035863,Palm,1771.0000000000002,168,2019.0000000000002,575.001,1209,1274,1016.999,2246
ENSMUSG00000035864,Syt1,10,0,0,0,0,0,0,0
ENSMUSG00000035868,Zfp983,79,43,79,120,136,12,59,89
ENSMUSG00000035873,Pawr,28,0,0,29,22,14,0,15
ENSMUSG00000035875,AI182371,9,0,43.00000000000001,0,0,0,0,7
ENSMUSG00000035877,Zhx3,218,150,193,80,202,59,121.00000000000001,141
ENSMUSG00000035878,Hykk,0,0,1,0,1,0,17,0
ENSMUSG00000035885,Cox8a,3313,3345,3090,2265,4097,3679,3130,3573
ENSMUSG00000035890,Rnf126,799,589,831,726,899,652,761,792
ENSMUSG00000035891,Cerk,2040,1408.0000000000002,1900,1735,903,808,1422,1881
ENSMUSG00000035896,Rnase1,0,0,0,0,0,0,0,0
ENSMUSG00000035898,Uba6,369,393,298,218,334,166,488,513
ENSMUSG00000035900,Gramd4,539,351,785,450,56,275,398.00000000000006,688.9999999999999
ENSMUSG00000035901,Dennd5a,4509,1703,4474.999,2177,2593,2915,3659.0009999999997,4732
ENSMUSG00000035910,Dcdc2a,0,0,0,0,0,0,0,0
ENSMUSG00000035914,Cd276,7,18,9,15,1,26,58,4
ENSMUSG00000035916,Ptprq,0,0,0,0,0,0,0,0
ENSMUSG00000035919,Bbs9,342.001,440,278,323,493,584.0010000000001,479,296.99899999999997
ENSMUSG00000035923,Myf6,0,0,0,0,0,0,0,0
ENSMUSG00000035929,H2-Q4,2610.647,761,2537.599,2338.129,1554.136,1747.009,2929.294,2052.259
ENSMUSG00000035930,Chst4,0,0,0,0,0,0,0,0
ENSMUSG00000035932,Olfr750,0,0,0,0,0,0,0,0
ENSMUSG00000035933,Cog5,798,648.752,755.188,1201,683.0010000000001,489,804.999,869.02
ENSMUSG00000035934,Pknox2,11,0,30,0,0,73,15,29
ENSMUSG00000035936,Aldh5a1,29,33,48,0,21,28,16,21
ENSMUSG00000035941,Ibtk,1442,508,1720,713,1034,869,1208,1423
ENSMUSG00000035944,Ttc38,97,166,73,76,53,73,66,163
ENSMUSG00000035946,Gsx2,0,0,0,0,0,0,0,0
ENSMUSG00000035948,Acss3,0,0,0,0,0,0,0,2
ENSMUSG00000035949,Fbxw2,840.0000000000001,564,1056.0000000000002,590,881.9989999999999,1079.999,904.001,1024.0010000000002
ENSMUSG00000035951,Ascl3,6,0,0,0,0,0,0,0
ENSMUSG00000035953,Pip4p1,806.9999999999999,234.012,579.9999999999999,515.686,470.07900000000006,516,868,709.0010000000001
ENSMUSG00000035954,Dock4,53,49,114,201,50,15,76,91
ENSMUSG00000035958,Tdp2,777,347,661,438,409,614,750,674
ENSMUSG00000035960,Apex1,639,552.988,944,676.3149999999999,630.92,495.99899999999997,387,771.9999999999999
ENSMUSG00000035963,Odf3l2,0,0,0,0,0,0,0,0
ENSMUSG00000035964,Tmem59l,5,0,0,0,16,0,0,0
ENSMUSG00000035967,Ints6l,2090,1149,2031.0009999999997,1663,1270,1493.999,2366.9999999999995,1170
ENSMUSG00000035969,Rusc2,100,106,74,96,100,130,87,94
ENSMUSG00000035983,NA,20,77,0,0,22,37,0,3
ENSMUSG00000035984,Nme5,0,0,0,0,0,0,6,3
ENSMUSG00000035992,Fnip1,1450,331,1167,629,576,654,846,1165
ENSMUSG00000036002,Fam214b,772.001,1426,728,925,417.999,757,737,490
ENSMUSG00000036006,Ripor2,4171,2788.0000000000005,4936.999999999999,3140.999,2170.001,1708.9989999999998,2721.001,2752
ENSMUSG00000036009,Mettl25,156,104,120,84,77,227,65,114
ENSMUSG00000036013,Fam122c,0,0,0,0,0,0,0,0
ENSMUSG00000036019,Tmtc2,15,39,0,0,44,27,81,3
ENSMUSG00000036022,Fam122b,226.00000000000003,193,243.99900000000002,221,655,343,158,213
ENSMUSG00000036023,Parp2,679,422,754,430,706,740,640.001,651.0000000000001
ENSMUSG00000036026,Tmem63b,337,538,261,392,438,422,356,284.00100000000003
ENSMUSG00000036027,1810046K07Rik,0,0,0,0,0,0,0,0
ENSMUSG00000036030,Prtg,0,0,0,0,0,0,0,0
ENSMUSG00000036036,Zfp57,23,11,18,85,96,0,36,62
ENSMUSG00000036040,Adamtsl2,8,0,11,0,28,0,0,0
ENSMUSG00000036045,NA,0,0,0,0,0,0,0,0
ENSMUSG00000036046,5031439G07Rik,1671.9999999999998,643,1443.0000000000002,981,958,1497,1507,2290.999
ENSMUSG00000036052,Dnajb5,143,48,96.999,132,111,45,126,157
ENSMUSG00000036053,Fmnl2,768.999,73,574,210,197,71,415,655.0010000000001
ENSMUSG00000036054,Sugp2,1374.0000000000002,1307,1086,1045,1500.999,1221.001,1451.0009999999997,947
ENSMUSG00000036057,Ptpn23,785.001,372,624,1246,411,957,960,842
ENSMUSG00000036061,Smug1,143,15,131,142,154,177,127,83
ENSMUSG00000036062,Phf24,5,70,0,0,0,59,0,0
ENSMUSG00000036067,Slc2a6,856,278,684,407,347,606,754,1215
ENSMUSG00000036073,NA,351,634,280,231,387.922,262,255,358
ENSMUSG00000036078,Sigmar1,363,159,293,323,219,329,272,235
ENSMUSG00000036083,Slc17a3,0,0,0,0,19,0,0,0
ENSMUSG00000036086,Zranb3,187,286,203,146,439,209,230,202
ENSMUSG00000036087,Slain2,3995,5933,1981,3939,5220,4034,5031,3035
ENSMUSG00000036091,Hyal3,6,0,24,76,15,21,0,15.108999999999998
ENSMUSG00000036093,Arl5a,851,753,1003,431,1061,656,894,875
ENSMUSG00000036095,Dgkb,0,0,0,0,0,0,0,0
ENSMUSG00000036097,Slf2,863,432,677,830,765,843,597,729
ENSMUSG00000036098,Myrf,0,0,0,21,0,0,0,13
ENSMUSG00000036099,Vezt,104,0,193,66,253.99900000000002,126,95,115.001
ENSMUSG00000036103,Colec12,25.005000000000003,0,3,174.99900000000002,6,24,30,34.576
ENSMUSG00000036104,Rab3gap1,1014.94,1556,1112.803,1258.107,1417.066,987.159,1153.37,880.381
ENSMUSG00000036106,Prr5,47,0,95,48,19,39,23,81
ENSMUSG00000036109,Mbnl3,358.99999999999994,118,534.9989999999999,132,301,895,294,493.001
ENSMUSG00000036110,Slc17a2,0,0,0,0,0,0,0,0
ENSMUSG00000036111,Lmo1,297,0,303,125,209,414,224,339
ENSMUSG00000036112,Metap2,3110.523,3545.9990000000003,4378.000999999999,2915,3677,3510.978,3229,2653.001
ENSMUSG00000036114,Rpp25l,193,24,176,248,76,153,156,222
ENSMUSG00000036117,Il5,0,0,0,0,0,0,0,0
ENSMUSG00000036120,Rfxank,271.51800000000003,317,331,256,352,256,238,327
ENSMUSG00000036123,Slc9a3,0,0,0,0,0,0,0,0
ENSMUSG00000036131,Frmd7,9,0,0,0,0,0,0,0
ENSMUSG00000036136,Fam110c,92,79,73,0,157,52,54,101
ENSMUSG00000036138,Acaa1a,1347,946,1079,1321,1069,1190,1791,1349
ENSMUSG00000036139,Hoxc9,0,0,0,0,0,0,0,0
ENSMUSG00000036144,Meox2,0,0,0,29,0,0,0,0
ENSMUSG00000036151,Tm6sf2,4,0,13,0,0,0,0,0
ENSMUSG00000036155,Mgat5,1245,711,1325,696,1107,1112,886,960
ENSMUSG00000036158,Prickle1,321,434,136,346,446,368,350,266
ENSMUSG00000036160,Surf6,479,265,683,388,467,586,463,412
ENSMUSG00000036162,NA,0,0,0,0,0,0,0,0
ENSMUSG00000036167,Pphln1,779,461,753,331,671.001,569,856,690
ENSMUSG00000036168,Ccdc38,0,0,0,0,0,0,0,0
ENSMUSG00000036169,Sostdc1,0,0,0,0,0,0,0,0
ENSMUSG00000036172,Cd200r3,424.66200000000003,133,177,226,57,78.22200000000001,155,142.071
ENSMUSG00000036180,Gatad2a,1906.999,1210.999,1967.9999999999998,1631.0009999999997,1434,1226,1487,1980
ENSMUSG00000036181,H1f2,5178.997,5142,2079,4097,3561.921,2474.888,3941,3466.956
ENSMUSG00000036185,Sapcd1,18,23,28,18,0,18,0,9
ENSMUSG00000036186,Dipk1b,24,0,106,45,13.026,0,52,50
ENSMUSG00000036188,Ankmy2,378,149,121,425,255,212,400,350
ENSMUSG00000036192,Rorb,1,0,0,0,0,0,0,0
ENSMUSG00000036196,Slc26a8,54,0,50,28,0,79,0,21
ENSMUSG00000036197,Gxylt1,1490.999,889,1268,647,728,1133,1310,925
ENSMUSG00000036198,Arhgap36,0,0,0,0,0,0,0,0
ENSMUSG00000036199,Ndufa13,1221,1685,1605,1120,1257,1392,1170,1266
ENSMUSG00000036202,Rif1,965.001,503,1058.001,713,1009.001,853,816,1146
ENSMUSG00000036206,Sh3bp4,23,0,19,48,8,0,61,83
ENSMUSG00000036208,Nepro,386,245,380,467,336,255,290.406,250
ENSMUSG00000036211,H1f6,0,0,0,0,0,0,0,0
ENSMUSG00000036214,Polr1has,15,69,18,14,39,14,7,22
ENSMUSG00000036216,Leap2,0,0,0,0,0,0,0,0
ENSMUSG00000036218,Pdzrn4,0,0,0,0,1,0,0,0
ENSMUSG00000036223,Ska1,345,140,509,143,404,297,345,391
ENSMUSG00000036225,Kctd1,343,298,320,287,530,184.99899999999997,305.999,273
ENSMUSG00000036231,Agr3,0,0,0,0,0,0,0,0
ENSMUSG00000036241,Ube2r2,1661,1173,2122,1598,1245,841,1335,1929
ENSMUSG00000036242,Armh4,0,0,0,0,0,0,0,0
ENSMUSG00000036244,Tbc1d21,0,0,0,0,0,0,0,0
ENSMUSG00000036246,Gmip,3507,390,3497,1026,1431.0000000000002,2356.999,2943.9999999999995,3029
ENSMUSG00000036249,Rbm43,591.001,566,651,412,723,730,552,553.001
ENSMUSG00000036251,Trpm8,0,0,0,0,0,0,0,0
ENSMUSG00000036256,Igfbp7,179,0,127,347,44,50,104,126
ENSMUSG00000036257,Pnpla8,1411.999,1347,1212,980,839.999,534.999,1391.001,1459.001
ENSMUSG00000036264,Fstl4,0,0,0,0,0,0,0,0
ENSMUSG00000036270,Edc4,1051,503,935,753,788,592,1095.9989999999998,1046
ENSMUSG00000036273,Lrrk2,3316,407,3216.0009999999997,1054.999,1348.999,1639.0000000000002,2205.9990000000003,3135
ENSMUSG00000036275,9530068E07Rik,2026,1875,2796,1721,2435,2695,2103,2507
ENSMUSG00000036278,Macrod1,138,158,146,66,116,92,23,146
ENSMUSG00000036281,Snapc4,401.002,284.001,414,412,463,441.001,289,332.00100000000003
ENSMUSG00000036282,Naa30,634,121,694.0010000000001,482,337.99999999999994,356,531,436
ENSMUSG00000036285,Noa1,338,282,489,291,599,655,382,491
ENSMUSG00000036291,Ap5m1,500,334,548,413,469.99899999999997,402.999,402.00000000000006,429.00000000000006
ENSMUSG00000036292,Gramd1c,284,718,243,136,74,261,304,117
ENSMUSG00000036295,Lrrn3,389,1078,159,174,206,85,116,73
ENSMUSG00000036298,Slc2a13,0,0,0,0,0,0,17,0
ENSMUSG00000036299,BC031181,1178,1993.9999999999998,1227.0010000000002,1235,1527,1296.999,1239.659,1341
ENSMUSG00000036304,Zdhhc23,69,0,51,47,40,32,133,45
ENSMUSG00000036305,NA,0,0,0,0,19.103,0,0,0
ENSMUSG00000036306,Lzts1,40,0,0,0,0,0,0,3
ENSMUSG00000036309,Skp1,1356,2058,1725.0009999999997,1625,2101,2071,1604,1661.0000000000002
ENSMUSG00000036315,Polr1h,313,88,438,242,158,356,333,523
ENSMUSG00000036322,NA,0,0,0,0,0,0,0,2
ENSMUSG00000036323,Srp72,2790.001,2322.0009999999997,2440.0000000000005,2383,2724.999,2510,2667.0000000000005,2729.002
ENSMUSG00000036327,Qsox2,166,331,191,195,299,363,55,138
ENSMUSG00000036330,Slc18a1,11,0,0,0,20,0,0,0
ENSMUSG00000036333,Kidins220,3000,2359.0000000000005,2707,2665,3559.9999999999995,2620.0009999999997,2725,2296
ENSMUSG00000036334,Igsf10,5.002,0,11,0,0,0,13,0
ENSMUSG00000036339,Tmem260,385,553,425,128,520,273,373,460.99999999999994
ENSMUSG00000036352,Ubac1,433,200,782.0010000000001,493,471,391,389,370
ENSMUSG00000036353,P2ry12,348,825,152,425,190,101,256,145
ENSMUSG00000036356,Csgalnact1,541,1033,231,623,731,194,929,367
ENSMUSG00000036357,Gpr101,0,0,0,0,0,0,0,0
ENSMUSG00000036362,P2ry13,226,0,224,110,37,38,183,183
ENSMUSG00000036368,Rmdn2,121,119,14,123,148,84,55,60
ENSMUSG00000036371,Serbp1,9900,9413,10358.000999999998,8274.999,10952.000000000002,9441,8014.000000000001,9453.000999999998
ENSMUSG00000036372,Tmem258,1160,1597,1364.999,1033,2383,1971,1265,1273
